fighter,kd,sig_str_landed,sig_str_attempted,total_str_landed,total_str_attempted,td_landed,td_attempted,sub_att,ctrl_time,reversals,head_str_landed,head_str_attempted,body_str_landed,body_str_attempted,leg_str_landed,leg_str_attempted,distance_str_landed,distance_str_attempted,clinch_str_landed,clinch_str_attempted,ground_str_landed,ground_str_attempted,sig_str_landed_opp,sig_str_attempted_opp,td_landed_opp,td_attempted_opp,ctrl_time_opp,total_fight_time,wins,losses,draws,total_fights,dq_wins,majority_decision_wins,split_decision_wins,unanimous_decision_wins,ko_tko_wins,submission_wins,tko_doctor_stoppage_wins,Could Not Continue ,dq_losses,majority_decision_losses,split_decision_losses,unanimous_decision_losses,ko_tko_losses,other,overturned,submission_losses,tko_doctor_stoppage_losses
Adlan Amagov,1.0,53.0,125.0,80.0,152.0,6.0,11.0,0.0,274,0.0,22.0,71.0,8.0,15.0,23.0,39.0,29.0,87.0,15.0,23.0,9.0,15.0,9.0,67.0,0.0,3.0,38,1080,2,0,0,2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrian Serrano,0.0,6.0,23.0,55.0,79.0,0.0,2.0,0.0,187,1.0,2.0,16.0,4.0,7.0,0.0,0.0,3.0,15.0,3.0,8.0,0.0,0.0,26.0,55.0,3.0,6.0,120,600,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Adrian Yanez,6.0,417.0,1008.0,425.0,1019.0,0.0,1.0,0.0,118,0.0,297.0,842.0,56.0,95.0,64.0,71.0,380.0,949.0,5.0,13.0,32.0,46.0,388.0,853.0,2.0,10.0,292,4043,6,3,0,9,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
Adriano Martins,2.0,103.0,234.0,131.0,265.0,4.0,5.0,2.0,376,0.0,55.0,173.0,11.0,17.0,37.0,44.0,96.0,220.0,0.0,3.0,7.0,11.0,108.0,342.0,1.0,7.0,15,3445,4,3,0,7,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
Adriano Santos,0.0,11.0,36.0,21.0,47.0,2.0,3.0,0.0,0,1.0,8.0,30.0,2.0,3.0,1.0,3.0,4.0,24.0,0.0,0.0,7.0,12.0,31.0,44.0,4.0,4.0,0,540,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Aiemann Zahabi,3.0,550.0,1154.0,566.0,1171.0,1.0,7.0,0.0,333,1.0,397.0,929.0,91.0,139.0,62.0,86.0,497.0,1075.0,21.0,32.0,32.0,47.0,494.0,1602.0,5.0,31.0,188,7267,8,2,0,10,0.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Ailin Perez,1.0,229.0,417.0,462.0,704.0,23.0,49.0,1.0,1920,2.0,137.0,286.0,47.0,67.0,45.0,64.0,115.0,257.0,34.0,47.0,80.0,113.0,132.0,299.0,3.0,9.0,1026,4426,5,1,0,6,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Aisling Daly,0.0,102.0,196.0,268.0,376.0,5.0,12.0,2.0,1268,0.0,71.0,153.0,25.0,35.0,6.0,8.0,16.0,63.0,28.0,40.0,58.0,93.0,49.0,111.0,4.0,6.0,582,2093,2,1,0,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Akbarh Arreola,2.0,97.0,214.0,157.0,281.0,3.0,3.0,1.0,174,0.0,51.0,150.0,26.0,37.0,20.0,27.0,70.0,174.0,4.0,7.0,23.0,33.0,168.0,390.0,4.0,6.0,1103,2512,1,3,0,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
Akihiro Gono,1.0,90.0,171.0,115.0,197.0,4.0,5.0,1.0,341,1.0,33.0,86.0,26.0,39.0,31.0,46.0,74.0,146.0,9.0,15.0,7.0,10.0,128.0,318.0,4.0,7.0,679,2299,1,2,0,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Akira Corassani,0.0,139.0,307.0,155.0,324.0,2.0,7.0,0.0,294,0.0,80.0,229.0,28.0,39.0,31.0,39.0,121.0,279.0,18.0,28.0,0.0,0.0,210.0,422.0,2.0,15.0,572,2564,3,3,0,6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Al Iaquinta,7.0,774.0,1909.0,811.0,1952.0,8.0,43.0,3.0,683,0.0,521.0,1553.0,145.0,235.0,108.0,121.0,715.0,1819.0,31.0,51.0,28.0,39.0,863.0,2225.0,14.0,54.0,1609,11426,9,6,0,15,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0
Alan Baudot,1.0,167.0,285.0,195.0,313.0,0.0,0.0,0.0,165,0.0,123.0,236.0,29.0,33.0,15.0,16.0,112.0,224.0,35.0,37.0,20.0,24.0,150.0,282.0,6.0,16.0,772,1868,0,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
Alan Belcher,3.0,372.0,889.0,513.0,1041.0,4.0,15.0,8.0,1580,2.0,211.0,672.0,61.0,94.0,100.0,123.0,252.0,705.0,58.0,82.0,62.0,102.0,427.0,1058.0,22.0,49.0,2293,8258,9,6,0,15,0.0,0.0,1.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0
Alan Jouban,9.0,663.0,1318.0,719.0,1377.0,4.0,9.0,2.0,480,1.0,398.0,961.0,138.0,207.0,127.0,150.0,538.0,1120.0,86.0,135.0,39.0,63.0,441.0,1103.0,7.0,17.0,802,7020,8,5,0,13,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0
