event,bout,weight_class,method,round,round_format,time,winner
UFC Fight Night: Strickland vs. Imavov ,Dan Ige vs. Damon Jackson,Featherweight Bout,KO/TKO ,2,3 Rnd (5-5-5),4:13,Dan Ige 
UFC Fight Night: Strickland vs. Imavov ,Punahele Soriano vs. Roman Kopylov,Middleweight Bout,KO/TKO ,2,3 Rnd (5-5-5),3:19,Roman Kopylov 
UFC Fight Night: Strickland vs. Imavov ,Ketlen Vieira vs. Raquel Pennington,Women's Bantamweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Raquel Pennington 
UFC Fight Night: Strickland vs. Imavov ,Umar Nurmagomedov vs. Raoni Barcelos,Bantamweight Bout,KO/TKO ,1,3 Rnd (5-5-5),4:40,Umar Nurmagomedov 
UFC Fight Night: Strickland vs. Imavov ,Javid Basharat vs. Mateus Mendonca,Bantamweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Javid Basharat 
UFC Fight Night: Strickland vs. Imavov ,Claudio Ribeiro vs. Abdul Razak Alhassan,Middleweight Bout,KO/TKO ,2,3 Rnd (5-5-5),0:28,Abdul Razak Alhassan 
UFC Fight Night: Strickland vs. Imavov ,Mateusz Rebecki vs. Nick Fiore,Lightweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Mateusz Rebecki 
UFC Fight Night: Strickland vs. Imavov ,Allan Nascimento vs. Carlos Hernandez,Flyweight Bout,Submission ,1,3 Rnd (5-5-5),3:16,Allan Nascimento 
UFC Fight Night: Strickland vs. Imavov ,Dan Argueta vs. Nick Aguirre,Featherweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Dan Argueta 
UFC Fight Night: Strickland vs. Imavov ,Charles Johnson vs. Jimmy Flick,Flyweight Bout,KO/TKO ,1,3 Rnd (5-5-5),4:33,Charles Johnson 
UFC Fight Night: Cannonier vs. Strickland ,Jared Cannonier vs. Sean Strickland,Middleweight Bout,Decision - Split ,5,5 Rnd (5-5-5-5-5),5:00,Jared Cannonier 
UFC Fight Night: Cannonier vs. Strickland ,Arman Tsarukyan vs. Damir Ismagulov,Lightweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Arman Tsarukyan 
UFC Fight Night: Cannonier vs. Strickland ,Amir Albazi vs. Alessandro Costa,Flyweight Bout,KO/TKO ,3,3 Rnd (5-5-5),2:13,Amir Albazi 
UFC Fight Night: Cannonier vs. Strickland ,Alex Caceres vs. Julian Erosa,Featherweight Bout,KO/TKO ,1,3 Rnd (5-5-5),3:04,Alex Caceres 
UFC Fight Night: Cannonier vs. Strickland ,Drew Dober vs. King Green,Lightweight Bout,KO/TKO ,2,3 Rnd (5-5-5),2:45,Drew Dober 
UFC Fight Night: Cannonier vs. Strickland ,Cody Brundage vs. Michal Oleksiejczuk,Middleweight Bout,KO/TKO ,1,3 Rnd (5-5-5),3:16,Michal Oleksiejczuk 
UFC Fight Night: Cannonier vs. Strickland ,Cheyanne Vlismas vs. Cory McKenna,Women's Strawweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Cory McKenna 
UFC Fight Night: Cannonier vs. Strickland ,Jake Matthews vs. Matthew Semelsberger,Welterweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Matthew Semelsberger 
UFC Fight Night: Cannonier vs. Strickland ,Said Nurmagomedov vs. Saidyokub Kakhramonov,Bantamweight Bout,Submission ,2,3 Rnd (5-5-5),3:50,Said Nurmagomedov 
UFC Fight Night: Cannonier vs. Strickland ,Rafa Garcia vs. Maheshate,Lightweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Rafa Garcia 
UFC Fight Night: Cannonier vs. Strickland ,Bryan Battle vs. Rinat Fakhretdinov,Welterweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Rinat Fakhretdinov 
UFC Fight Night: Cannonier vs. Strickland ,David Dvorak vs. Manel Kape,Flyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Manel Kape 
UFC Fight Night: Cannonier vs. Strickland ,Sergey Morozov vs. Journey Newson,Bantamweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Sergey Morozov 
UFC 282: Blachowicz vs. Ankalaev ,Jan Blachowicz vs. Magomed Ankalaev,UFC Light Heavyweight Title Bout,Decision - Split ,5,5 Rnd (5-5-5-5-5),5:00,
UFC 282: Blachowicz vs. Ankalaev ,Paddy Pimblett vs. Jared Gordon,Lightweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Paddy Pimblett 
UFC 282: Blachowicz vs. Ankalaev ,Santiago Ponzinibbio vs. Alex Morono,Catch Weight Bout,KO/TKO ,3,3 Rnd (5-5-5),2:29,Santiago Ponzinibbio 
UFC 282: Blachowicz vs. Ankalaev ,Darren Till vs. Dricus Du Plessis,Middleweight Bout,Submission ,3,3 Rnd (5-5-5),2:43,Dricus Du Plessis 
UFC 282: Blachowicz vs. Ankalaev ,Bryce Mitchell vs. Ilia Topuria,Featherweight Bout,Submission ,2,3 Rnd (5-5-5),3:10,Ilia Topuria 
UFC 282: Blachowicz vs. Ankalaev ,Raul Rosas Jr. vs. Jay Perrin,Bantamweight Bout,Submission ,1,3 Rnd (5-5-5),2:44,Raul Rosas Jr. 
UFC 282: Blachowicz vs. Ankalaev ,Jairzinho Rozenstruik vs. Chris Daukaus,Heavyweight Bout,KO/TKO ,1,3 Rnd (5-5-5),0:23,Jairzinho Rozenstruik 
UFC 282: Blachowicz vs. Ankalaev ,Edmen Shahbazyan vs. Dalcha Lungiambula,Middleweight Bout,KO/TKO ,2,3 Rnd (5-5-5),4:41,Edmen Shahbazyan 
UFC 282: Blachowicz vs. Ankalaev ,Chris Curtis vs. Joaquin Buckley,Middleweight Bout,KO/TKO ,2,3 Rnd (5-5-5),2:49,Chris Curtis 
UFC 282: Blachowicz vs. Ankalaev ,Billy Quarantillo vs. Alexander Hernandez,Featherweight Bout,KO/TKO ,2,3 Rnd (5-5-5),4:30,Billy Quarantillo 
UFC 282: Blachowicz vs. Ankalaev ,TJ Brown vs. Erik Silva,Featherweight Bout,Submission ,3,3 Rnd (5-5-5),3:41,TJ Brown 
UFC 282: Blachowicz vs. Ankalaev ,Cameron Saaiman vs. Steven Koslow,Bantamweight Bout,KO/TKO ,3,3 Rnd (5-5-5),4:13,Cameron Saaiman 
UFC Fight Night: Thompson vs. Holland ,Stephen Thompson vs. Kevin Holland,Welterweight Bout,KO/TKO ,4,5 Rnd (5-5-5-5-5),5:00,Stephen Thompson 
UFC Fight Night: Thompson vs. Holland ,Bryan Barberena vs. Rafael Dos Anjos,Welterweight Bout,Submission ,2,3 Rnd (5-5-5),3:20,Rafael Dos Anjos 
UFC Fight Night: Thompson vs. Holland ,Matheus Nicolau vs. Matt Schnell,Flyweight Bout,KO/TKO ,2,3 Rnd (5-5-5),1:44,Matheus Nicolau 
UFC Fight Night: Thompson vs. Holland ,Tai Tuivasa vs. Sergei Pavlovich,Heavyweight Bout,KO/TKO ,1,3 Rnd (5-5-5),0:54,Sergei Pavlovich 
UFC Fight Night: Thompson vs. Holland ,Jack Hermansson vs. Roman Dolidze,Middleweight Bout,KO/TKO ,2,3 Rnd (5-5-5),4:06,Roman Dolidze 
UFC Fight Night: Thompson vs. Holland ,Eryk Anders vs. Kyle Daukaus,Middleweight Bout,KO/TKO ,2,3 Rnd (5-5-5),2:45,Eryk Anders 
UFC Fight Night: Thompson vs. Holland ,Niko Price vs. Phil Rowe,Welterweight Bout,KO/TKO ,3,3 Rnd (5-5-5),3:26,Phil Rowe 
UFC Fight Night: Thompson vs. Holland ,Angela Hill vs. Emily Ducote,Women's Strawweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Angela Hill 
UFC Fight Night: Thompson vs. Holland ,Clay Guida vs. Scott Holtzman,Lightweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Clay Guida 
UFC Fight Night: Thompson vs. Holland ,Michael Johnson vs. Marc Diakiese,Lightweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Michael Johnson 
UFC Fight Night: Thompson vs. Holland ,Darren Elkins vs. Jonathan Pearce,Featherweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Jonathan Pearce 
UFC Fight Night: Thompson vs. Holland ,Natan Levy vs. Genaro Valdez,Lightweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Natan Levy 
UFC Fight Night: Thompson vs. Holland ,Marcelo Rojo vs. Francis Marshall,Featherweight Bout,KO/TKO ,2,3 Rnd (5-5-5),1:14,Francis Marshall 
UFC Fight Night: Thompson vs. Holland ,Yazmin Jauregui vs. Istela Nunes,Women's Strawweight Bout,KO/TKO ,2,3 Rnd (5-5-5),4:06,Yazmin Jauregui 
UFC Fight Night: Nzechukwu vs. Cutelaba ,Kennedy Nzechukwu vs. Ion Cutelaba,Light Heavyweight Bout,KO/TKO ,2,3 Rnd (5-5-5),1:02,Kennedy Nzechukwu 
UFC Fight Night: Nzechukwu vs. Cutelaba ,Chase Sherman vs. Waldo Cortes-Acosta,Heavyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Waldo Cortes-Acosta 
UFC Fight Night: Nzechukwu vs. Cutelaba ,Andre Fialho vs. Muslim Salikhov,Welterweight Bout,KO/TKO ,3,3 Rnd (5-5-5),1:03,Muslim Salikhov 
UFC Fight Night: Nzechukwu vs. Cutelaba ,Jack Della Maddalena vs. Danny Roberts,Welterweight Bout,KO/TKO ,1,3 Rnd (5-5-5),3:24,Jack Della Maddalena 
UFC Fight Night: Nzechukwu vs. Cutelaba ,Charles Johnson vs. Zhalgas Zhumagulov,Flyweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Charles Johnson 
UFC Fight Night: Nzechukwu vs. Cutelaba ,Jennifer Maia vs. Maryna Moroz,Women's Flyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Jennifer Maia 
UFC Fight Night: Nzechukwu vs. Cutelaba ,Vince Morales vs. Miles Johns,Bantamweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Miles Johns 
UFC Fight Night: Nzechukwu vs. Cutelaba ,Ricky Turcios vs. Kevin Natividad,Bantamweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Ricky Turcios 
UFC Fight Night: Nzechukwu vs. Cutelaba ,Vanessa Demopoulos vs. Maria Oliveira,Women's Strawweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Vanessa Demopoulos 
UFC Fight Night: Nzechukwu vs. Cutelaba ,Brady Hiestand vs. Fernie Garcia,Bantamweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Brady Hiestand 
UFC Fight Night: Nzechukwu vs. Cutelaba ,Natalia Silva vs. Tereza Bleda,Women's Flyweight Bout,KO/TKO ,3,3 Rnd (5-5-5),1:27,Natalia Silva 
UFC 281: Adesanya vs. Pereira ,Israel Adesanya vs. Alex Pereira,UFC Middleweight Title Bout,KO/TKO ,5,5 Rnd (5-5-5-5-5),2:01,Alex Pereira 
UFC 281: Adesanya vs. Pereira ,Carla Esparza vs. Zhang Weili,UFC Women's Strawweight Title Bout,Submission ,2,5 Rnd (5-5-5-5-5),1:05,Zhang Weili 
UFC 281: Adesanya vs. Pereira ,Dustin Poirier vs. Michael Chandler,Lightweight Bout,Submission ,3,3 Rnd (5-5-5),2:00,Dustin Poirier 
UFC 281: Adesanya vs. Pereira ,Frankie Edgar vs. Chris Gutierrez,Bantamweight Bout,KO/TKO ,1,3 Rnd (5-5-5),2:01,Chris Gutierrez 
UFC 281: Adesanya vs. Pereira ,Dan Hooker vs. Claudio Puelles,Lightweight Bout,KO/TKO ,2,3 Rnd (5-5-5),4:06,Dan Hooker 
UFC 281: Adesanya vs. Pereira ,Brad Riddell vs. Renato Moicano,Lightweight Bout,Submission ,1,3 Rnd (5-5-5),3:20,Renato Moicano 
UFC 281: Adesanya vs. Pereira ,Dominick Reyes vs. Ryan Spann,Light Heavyweight Bout,KO/TKO ,1,3 Rnd (5-5-5),1:20,Ryan Spann 
UFC 281: Adesanya vs. Pereira ,Erin Blanchfield vs. Molly McCann,Women's Flyweight Bout,Submission ,1,3 Rnd (5-5-5),3:37,Erin Blanchfield 
UFC 281: Adesanya vs. Pereira ,Andre Petroski vs. Wellington Turman,Middleweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Andre Petroski 
UFC 281: Adesanya vs. Pereira ,Matt Frevola vs. Ottman Azaitar,Lightweight Bout,KO/TKO ,1,3 Rnd (5-5-5),2:30,Matt Frevola 
UFC 281: Adesanya vs. Pereira ,Karolina Kowalkiewicz vs. Silvana Gomez Juarez,Women's Strawweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Karolina Kowalkiewicz 
UFC 281: Adesanya vs. Pereira ,Michael Trizano vs. SeungWoo Choi,Featherweight Bout,KO/TKO ,1,3 Rnd (5-5-5),4:51,Michael Trizano 
UFC 281: Adesanya vs. Pereira ,Julio Arce vs. Montel Jackson,Bantamweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Montel Jackson 
UFC 281: Adesanya vs. Pereira ,Carlos Ulberg vs. Nicolae Negumereanu,Light Heavyweight Bout,KO/TKO ,1,3 Rnd (5-5-5),3:44,Carlos Ulberg 
UFC Fight Night: Rodriguez vs. Lemos ,Marina Rodriguez vs. Amanda Lemos,Women's Strawweight Bout,KO/TKO ,3,5 Rnd (5-5-5-5-5),0:54,Amanda Lemos 
UFC Fight Night: Rodriguez vs. Lemos ,Neil Magny vs. Daniel Rodriguez,Welterweight Bout,Submission ,3,3 Rnd (5-5-5),3:33,Neil Magny 
UFC Fight Night: Rodriguez vs. Lemos ,Darrick Minner vs. Shayilan Nuerdanbieke,Featherweight Bout,KO/TKO ,1,3 Rnd (5-5-5),1:07,Shayilan Nuerdanbieke 
UFC Fight Night: Rodriguez vs. Lemos ,Tagir Ulanbekov vs. Nate Maness,Flyweight Bout,Submission ,1,3 Rnd (5-5-5),2:11,Tagir Ulanbekov 
UFC Fight Night: Rodriguez vs. Lemos ,Grant Dawson vs. Mark Madsen,Lightweight Bout,Submission ,3,3 Rnd (5-5-5),2:05,Grant Dawson 
UFC Fight Night: Rodriguez vs. Lemos ,Miranda Maverick vs. Shanna Young,Women's Flyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Miranda Maverick 
UFC Fight Night: Rodriguez vs. Lemos ,Mario Bautista vs. Benito Lopez,Bantamweight Bout,Submission ,1,3 Rnd (5-5-5),4:54,Mario Bautista 
UFC Fight Night: Rodriguez vs. Lemos ,Polyana Viana vs. Jinh Yu Frey,Women's Strawweight Bout,KO/TKO ,1,3 Rnd (5-5-5),0:47,Polyana Viana 
UFC Fight Night: Rodriguez vs. Lemos ,Liudvik Sholinian vs. Johnny Munoz,Bantamweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Johnny Munoz 
UFC Fight Night: Rodriguez vs. Lemos ,Carlos Candelario vs. Jake Hadley,Flyweight Bout,Submission ,2,3 Rnd (5-5-5),2:39,Jake Hadley 
UFC Fight Night: Rodriguez vs. Lemos ,Tamires Vidal vs. Ramona Pascual,Women's Bantamweight Bout,KO/TKO ,1,3 Rnd (5-5-5),3:06,Tamires Vidal 
UFC Fight Night: Kattar vs. Allen ,Calvin Kattar vs. Arnold Allen,Featherweight Bout,KO/TKO ,2,5 Rnd (5-5-5-5-5),0:08,Arnold Allen 
UFC Fight Night: Kattar vs. Allen ,Tim Means vs. Max Griffin,Welterweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Max Griffin 
UFC Fight Night: Kattar vs. Allen ,Waldo Cortes-Acosta vs. Jared Vanderaa,Heavyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Waldo Cortes-Acosta 
UFC Fight Night: Kattar vs. Allen ,Josh Fremd vs. Tresean Gore,Middleweight Bout,Submission ,2,3 Rnd (5-5-5),0:49,Tresean Gore 
UFC Fight Night: Kattar vs. Allen ,Dustin Jacoby vs. Khalil Rountree Jr.,Light Heavyweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Khalil Rountree Jr. 
UFC Fight Night: Kattar vs. Allen ,Phil Hawes vs. Roman Dolidze,Middleweight Bout,KO/TKO ,1,3 Rnd (5-5-5),4:09,Roman Dolidze 
UFC Fight Night: Kattar vs. Allen ,Andrei Arlovski vs. Marcos Rogerio de Lima,Heavyweight Bout,Submission ,1,3 Rnd (5-5-5),1:50,Marcos Rogerio de Lima 
UFC Fight Night: Kattar vs. Allen ,Joseph Holmes vs. JunYong Park,Middleweight Bout,Submission ,2,3 Rnd (5-5-5),3:04,JunYong Park 
UFC Fight Night: Kattar vs. Allen ,Chase Hooper vs. Steve Garcia,Featherweight Bout,KO/TKO ,1,3 Rnd (5-5-5),1:32,Steve Garcia 
UFC Fight Night: Kattar vs. Allen ,Cody Durden vs. Carlos Mota,Flyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Cody Durden 
UFC Fight Night: Kattar vs. Allen ,Christian Rodriguez vs. Joshua Weems,Bantamweight Bout,Submission ,1,3 Rnd (5-5-5),4:07,Christian Rodriguez 
UFC 280: Oliveira vs. Makhachev ,Charles Oliveira vs. Islam Makhachev,UFC Lightweight Title Bout,Submission ,2,5 Rnd (5-5-5-5-5),3:16,Islam Makhachev 
UFC 280: Oliveira vs. Makhachev ,Aljamain Sterling vs. TJ Dillashaw,UFC Bantamweight Title Bout,KO/TKO ,2,5 Rnd (5-5-5-5-5),3:44,Aljamain Sterling 
UFC 280: Oliveira vs. Makhachev ,Petr Yan vs. Sean O'Malley,Bantamweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Sean O'Malley 
UFC 280: Oliveira vs. Makhachev ,Beneil Dariush vs. Mateusz Gamrot,Lightweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Beneil Dariush 
UFC 280: Oliveira vs. Makhachev ,Katlyn Cerminara vs. Manon Fiorot,Women's Flyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Manon Fiorot 
UFC 280: Oliveira vs. Makhachev ,Belal Muhammad vs. Sean Brady,Welterweight Bout,KO/TKO ,2,3 Rnd (5-5-5),4:47,Belal Muhammad 
UFC 280: Oliveira vs. Makhachev ,Makhmud Muradov vs. Caio Borralho,Middleweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Caio Borralho 
UFC 280: Oliveira vs. Makhachev ,Volkan Oezdemir vs. Nikita Krylov,Light Heavyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Nikita Krylov 
UFC 280: Oliveira vs. Makhachev ,Abubakar Nurmagomedov vs. Gadzhi Omargadzhiev,Welterweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Abubakar Nurmagomedov 
UFC 280: Oliveira vs. Makhachev ,Armen Petrosyan vs. AJ Dobson,Middleweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Armen Petrosyan 
UFC 280: Oliveira vs. Makhachev ,Muhammad Mokaev vs. Malcolm Gordon,Flyweight Bout,Submission ,3,3 Rnd (5-5-5),4:26,Muhammad Mokaev 
UFC 280: Oliveira vs. Makhachev ,Karol Rosa vs. Lina Lansberg,Women's Bantamweight Bout,Decision - Majority ,3,3 Rnd (5-5-5),5:00,Karol Rosa 
UFC Fight Night: Grasso vs. Araujo ,Alexa Grasso vs. Viviane Araujo,Women's Flyweight Bout,Decision - Unanimous ,5,5 Rnd (5-5-5-5-5),5:00,Alexa Grasso 
UFC Fight Night: Grasso vs. Araujo ,Cub Swanson vs. Jonathan Martinez,Bantamweight Bout,KO/TKO ,2,3 Rnd (5-5-5),4:19,Jonathan Martinez 
UFC Fight Night: Grasso vs. Araujo ,Jordan Wright vs. Dusko Todorovic,Middleweight Bout,KO/TKO ,2,3 Rnd (5-5-5),3:12,Dusko Todorovic 
UFC Fight Night: Grasso vs. Araujo ,Raphael Assuncao vs. Victor Henry,Bantamweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Raphael Assuncao 
UFC Fight Night: Grasso vs. Araujo ,Misha Cirkunov vs. Alonzo Menifield,Light Heavyweight Bout,KO/TKO ,1,3 Rnd (5-5-5),1:28,Alonzo Menifield 
UFC Fight Night: Grasso vs. Araujo ,Mana Martinez vs. Brandon Davis,Bantamweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Mana Martinez 
UFC Fight Night: Grasso vs. Araujo ,Nick Maximov vs. Jacob Malkoun,Middleweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Jacob Malkoun 
UFC Fight Night: Grasso vs. Araujo ,Joanderson Brito vs. Lucas Alexander,Featherweight Bout,Submission ,1,3 Rnd (5-5-5),2:02,Joanderson Brito 
UFC Fight Night: Grasso vs. Araujo ,Piera Rodriguez vs. Sam Hughes,Women's Strawweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Piera Rodriguez 
UFC Fight Night: Grasso vs. Araujo ,Tatsuro Taira vs. CJ Vergara,Flyweight Bout,Submission ,2,3 Rnd (5-5-5),4:19,Tatsuro Taira 
UFC Fight Night: Grasso vs. Araujo ,Mike Jackson vs. Pete Rodriguez,Welterweight Bout,KO/TKO ,1,3 Rnd (5-5-5),1:33,Pete Rodriguez 
UFC Fight Night: Dern vs. Yan ,Mackenzie Dern vs. Yan Xiaonan,Women's Strawweight Bout,Decision - Majority ,5,5 Rnd (5-5-5-5-5),5:00,Yan Xiaonan 
UFC Fight Night: Dern vs. Yan ,Randy Brown vs. Francisco Trinaldo,Welterweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Randy Brown 
UFC Fight Night: Dern vs. Yan ,Raoni Barcelos vs. Trevin Jones,Bantamweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Raoni Barcelos 
UFC Fight Night: Dern vs. Yan ,Sodiq Yusuff vs. Don Shainis,Featherweight Bout,Submission ,1,3 Rnd (5-5-5),0:30,Sodiq Yusuff 
UFC Fight Night: Dern vs. Yan ,Mike Davis vs. Viacheslav Borshchev,Lightweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Mike Davis 
UFC Fight Night: Dern vs. Yan ,John Castaneda vs. Daniel Santos,Catch Weight Bout,KO/TKO ,2,3 Rnd (5-5-5),4:28,Daniel Santos 
UFC Fight Night: Dern vs. Yan ,Ilir Latifi vs. Aleksei Oleinik,Heavyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Ilir Latifi 
UFC Fight Night: Dern vs. Yan ,Joaquim Silva vs. Jesse Ronson,Lightweight Bout,KO/TKO ,2,3 Rnd (5-5-5),3:08,Joaquim Silva 
UFC Fight Night: Dern vs. Yan ,Krzysztof Jotko vs. Brendan Allen,Middleweight Bout,Submission ,1,3 Rnd (5-5-5),4:17,Brendan Allen 
UFC Fight Night: Dern vs. Yan ,Julija Stoliarenko vs. Chelsea Chandler,Catch Weight Bout,KO/TKO ,1,3 Rnd (5-5-5),4:15,Chelsea Chandler 
UFC Fight Night: Dern vs. Yan ,Guido Cannetti vs. Randy Costa,Bantamweight Bout,Submission ,1,3 Rnd (5-5-5),1:04,Guido Cannetti 
UFC Fight Night: Sandhagen vs. Song ,Cory Sandhagen vs. Song Yadong,Bantamweight Bout,TKO - Doctor's Stoppage ,4,5 Rnd (5-5-5-5-5),5:00,Cory Sandhagen 
UFC Fight Night: Sandhagen vs. Song ,Chidi Njokuani vs. Gregory Rodrigues,Middleweight Bout,KO/TKO ,2,3 Rnd (5-5-5),1:27,Gregory Rodrigues 
UFC Fight Night: Sandhagen vs. Song ,Andre Fili vs. Bill Algeo,Featherweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Andre Fili 
UFC Fight Night: Sandhagen vs. Song ,Joe Pyfer vs. Alen Amedovski,Middleweight Bout,KO/TKO ,1,3 Rnd (5-5-5),3:55,Joe Pyfer 
UFC Fight Night: Sandhagen vs. Song ,Tanner Boser vs. Rodrigo Nascimento,Heavyweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Rodrigo Nascimento 
UFC Fight Night: Sandhagen vs. Song ,Anthony Hernandez vs. Marc-Andre Barriault,Middleweight Bout,Submission ,3,3 Rnd (5-5-5),1:53,Anthony Hernandez 
UFC Fight Night: Sandhagen vs. Song ,Damon Jackson vs. Pat Sabatini,Featherweight Bout,KO/TKO ,1,3 Rnd (5-5-5),1:09,Damon Jackson 
UFC Fight Night: Sandhagen vs. Song ,Trevin Giles vs. Louis Cosce,Welterweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Trevin Giles 
UFC Fight Night: Sandhagen vs. Song ,Denise Gomes vs. Loma Lookboonmee,Women's Strawweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Loma Lookboonmee 
UFC Fight Night: Sandhagen vs. Song ,Trey Ogden vs. Daniel Zellhuber,Lightweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Trey Ogden 
UFC Fight Night: Sandhagen vs. Song ,Mariya Agapova vs. Gillian Robertson,Women's Flyweight Bout,Submission ,2,3 Rnd (5-5-5),2:19,Gillian Robertson 
UFC Fight Night: Sandhagen vs. Song ,Tony Gravely vs. Javid Basharat,Bantamweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Javid Basharat 
UFC Fight Night: Sandhagen vs. Song ,Nikolas Motta vs. Cameron VanCamp,Lightweight Bout,KO/TKO ,1,3 Rnd (5-5-5),3:49,Nikolas Motta 
UFC 279: Diaz vs. Ferguson ,Nate Diaz vs. Tony Ferguson,Welterweight Bout,Submission ,4,5 Rnd (5-5-5-5-5),2:52,Nate Diaz 
UFC 279: Diaz vs. Ferguson ,Khamzat Chimaev vs. Kevin Holland,Catch Weight Bout,Submission ,1,5 Rnd (5-5-5-5-5),2:13,Khamzat Chimaev 
UFC 279: Diaz vs. Ferguson ,Li Jingliang vs. Daniel Rodriguez,Catch Weight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Daniel Rodriguez 
UFC 279: Diaz vs. Ferguson ,Irene Aldana vs. Macy Chiasson,Catch Weight Bout,KO/TKO ,3,3 Rnd (5-5-5),2:21,Irene Aldana 
UFC 279: Diaz vs. Ferguson ,Johnny Walker vs. Ion Cutelaba,Light Heavyweight Bout,Submission ,1,3 Rnd (5-5-5),4:37,Johnny Walker 
UFC 279: Diaz vs. Ferguson ,Hakeem Dawodu vs. Julian Erosa,Featherweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Julian Erosa 
UFC 279: Diaz vs. Ferguson ,Jailton Almeida vs. Anton Turkalj,Catch Weight Bout,Submission ,1,3 Rnd (5-5-5),4:27,Jailton Almeida 
UFC 279: Diaz vs. Ferguson ,Denis Tiuliulin vs. Jamie Pickett,Middleweight Bout,KO/TKO ,2,3 Rnd (5-5-5),4:52,Denis Tiuliulin 
UFC 279: Diaz vs. Ferguson ,Jake Collier vs. Chris Barnett,Heavyweight Bout,KO/TKO ,2,3 Rnd (5-5-5),2:24,Chris Barnett 
UFC 279: Diaz vs. Ferguson ,Norma Dumont vs. Danyelle Wolf,Women's Featherweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Norma Dumont 
UFC 279: Diaz vs. Ferguson ,Chad Anheliger vs. Alatengheili,Bantamweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00, Alatengheili 
